Name,Tm,IP,TBF,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,FIP,xFIP,playerId
Thomas Szapucki,NYM,0.2,2,13.49999993,0,1,0,0.5,0,0.5,0.5,1.49999999,1,-2,0.170034132,2.816577314,21065
Demarcus Evans,TEX,8.2,48,8.3076923,9.34615384,0.88888889,1.03846154,0.16666667,0.1875,-0.02083333,0.33333333,2.53846154,0.4,0.72815534,5.939264892,7.08580808,21087
Dauri Moreta,CIN,2,8,4.5,0,1,4.5,0.125,0,0.125,0.25,1,0.16666667,1,8.670034122,6.580939439,21101
Miguel Yajure,PIT,8,39,6.75,5.625,1.2,4.5,0.15384615,0.12820513,0.02564102,0.35294118,2.125,0.33333333,0.78947368,10.04503412,6.191577312,21111
Humberto Castellanos,ARI,23.1,98,4.62857143,3.47142857,1.33333333,1.92857143,0.12244898,0.09183673,0.03061225,0.25581395,1.32857143,0.23611111,0.58333333,6.084319832,5.945148741,21183
Brooks Kriske,2 Tms,3,16,6,6,1,6,0.125,0.125,0,0.38461538,2.33333333,0.33333333,0.57692308,13.50336745,7.777304333,21189
Darien Nunez,LAD,3.2,18,7.36363636,7.36363636,1,4.9090909,0.16666667,0.16666667,0,0.4,2.45454545,0.4,0.64516129,11.07912502,6.394164292,21197
Connor Brogdon,PHI,30.1,122,7.12087912,2.67032967,2.66666667,0.89010989,0.19672131,0.07377049,0.12295082,0.21818182,1.08791209,0.24418605,0.69444444,3.763440712,4.571694668,21205
Bailey Ober,MIN,40,174,9.225,2.925,3.15384615,1.8,0.23563218,0.07471264,0.16091954,0.2875,1.475,0.34234234,0.88114754,4.770034122,4.463704887,21224
Lucas Gilbreath,COL,20.1,95,10.62295082,6.19672131,1.71428571,1.7704918,0.25263158,0.14736842,0.10526316,0.2278481,1.57377049,0.26923077,0.83941606,5.579870192,4.931475112,21290
Andre Jackson,LAD,6.2,27,9.45,2.7,3.5,0,0.25925926,0.07407407,0.18518519,0.26086957,1.2,0.33333333,0.75,1.970034122,3.557960036,21298
Jake Latz,TEX,0.2,2,26.99999987,0,2,0,1,0,1,0,0,0,1,-2.829965848,-2.829965848,21306
Tylor Megill,NYM,39.1,184,10.06779661,3.66101695,2.75,2.97457627,0.23913043,0.08695652,0.15217391,0.31515152,1.72881356,0.35779817,0.83011583,6.602237512,5.176453854,21318
Glenn Otto,TEX,6.1,34,8.52631579,4.2631579,2,0,0.17647059,0.08823529,0.0882353,0.4516129,2.68421053,0.56,0.47058824,2.696349912,4.367850875,21366
Joe Ryan,MIN,13.1,51,8.1,2.7,3,2.025,0.23529412,0.07843137,0.15686275,0.14893617,0.825,0.125,0.73529412,5.195034122,5.313558791,21390
Ryan Feltner,COL,3,15,12,12,1,3,0.26666667,0.26666667,0,0.1,1.66666667,0,1,9.836700792,8.443971,21446
Kris Bubic,KCR,22.1,95,7.25373134,4.43283582,1.63636364,1.6119403,0.18947368,0.11578947,0.07368421,0.2375,1.34328358,0.25,0.71969697,5.632720692,5.358396002,21455
