Name,Tm,IP,TBF,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,FIP,xFIP,playerId
Ryne Stanek,HOU,43.2,173,10.92366412,3.91603053,2.78947368,0.41221374,0.30635838,0.10982659,0.19653179,0.14765101,0.9389313,0.21052632,0.61611374,2.918125722,3.777294502,15947
Keury Mella,ARI,1,6,9,0,1,0,0.16666667,0,0.16666667,0.5,3,0.6,0.33333333,1.170034122,6.463120502,15964
Akeem Bostick,NYM,0.1,1,0,0,0,0,0,0,0,0,0,0,1,3.170034122,8.463120555,15979
Stevie Wilkerson,BAL,0.1,1,0,0,0,0,0,0,0,0,0,0,1,3.170034122,3.170034122,16041
Stefan Crichton,ARI,17.1,78,6.23076923,3.11538462,2,1.03846154,0.15384615,0.07692308,0.07692307,0.30434783,1.55769231,0.33928571,0.57251908,4.670034122,5.205836577,16058
Zach Thompson,MIA,40.2,163,8.18852459,2.43442623,3.36363636,0.66393443,0.22699387,0.06748466,0.15950921,0.19594595,0.98360656,0.23423423,0.57065217,3.194624282,4.144589866,16094
Daniel Ponce de Leon,STL,18.2,87,5.78571428,5.30357143,1.09090909,0.48214286,0.13793103,0.12643678,0.01149425,0.23880597,1.44642857,0.25862069,0.68627451,5.152176982,7.291330397,16110
Jordan Romano,TOR,35.2,152,10.59813084,4.54205607,2.33333333,1.26168224,0.27631579,0.11842105,0.15789474,0.21052632,1.28971963,0.26436782,0.8974359,4.151342532,3.911891731,16122
Chris Ellis,2 Tms,18.1,78,6.87272727,3.43636364,2,0.49090909,0.17948718,0.08974359,0.08974359,0.23188406,1.25454545,0.27777778,0.93220339,3.824579572,5.23272322,16125
John Curtiss,2 Tms,25.1,111,8.88157895,3.55263158,2.5,1.42105263,0.22522523,0.09009009,0.13513514,0.23232323,1.30263158,0.26760563,0.77464789,4.551613072,4.588357693,16128
David Hess,2 Tms,10,48,8.1,3.6,2.25,3.6,0.1875,0.08333333,0.10416667,0.33333333,1.8,0.33333333,0.59701493,8.070034122,5.693013525,16130
Carlos Rodon,CHW,106.2,423,12.65625,2.615625,4.83870968,1.0125,0.35460993,0.07328605,0.28132388,0.17506631,0.909375,0.24324324,0.80498866,2.916909122,3.257366671,16137
Aaron Nola,PHI,90,377,10.2,2.2,4.63636364,1.2,0.27055703,0.05835544,0.21220159,0.25360231,1.22222222,0.3220339,0.80448065,3.536700792,3.724561771,16149
Jace Fry,CHW,5,24,3.6,10.8,0.33333333,1.8,0.08333333,0.25,-0.16666667,0.41176471,2.6,0.42857143,0.55555556,9.170034122,7.275778973,16159
Brandon Woodruff,MIL,88.1,348,10.18867925,1.73207547,5.88235294,0.81509434,0.28735632,0.04885057,0.23850575,0.21875,0.98490566,0.28440367,0.74257426,2.830411482,2.971331108,16162
Spencer Turnbull,DET,25,100,7.92,2.16,3.66666667,0,0.22,0.06,0.16,0.23076923,1.08,0.3,0.5862069,2.370034122,3.640374854,16207
Jake Reed,2 Tms,8,34,10.125,0,9,1.125,0.26470588,0,0.26470588,0.27272727,1.125,0.33333333,0.39473684,2.545034122,2.684396249,16209
Tejay Antone,CIN,17,62,10.58823529,3.70588235,2.85714286,0.52941176,0.32258065,0.11290323,0.20967742,0.12962963,0.82352941,0.18181818,0.95588235,2.993563532,3.785647764,16233
Kyle Freeland,COL,87,370,8.48275862,3,2.82758621,1.65517241,0.22162162,0.07837838,0.14324324,0.27596439,1.40229885,0.31950207,0.86614173,4.744746762,4.260264466,16256
