Name,Tm,PA,BB%,K%,BB/K,AVG,OBP,SLG,OPS,ISO,BABIP,wRC,wRAA,wOBA,wRC+,playerId
Taylor Ward,LAA,160,0.075,0.25625,0.29268293,0.22535211,0.30188679,0.42957746,0.73146425,0.20422535,0.27083333,19.44001385,0.064588272,0.314914351,98.53684427,17548
JT Brubaker,PIT,30,0.13333333,0.33333333,0.4,0.08,0.20689655,0.08,0.28689655,0,0.13333333,-0.298628988,-3.931521284,0.156033684,-6.649082388,17578
Jordan Yamamoto,NYM,2,0,0.5,0,0.5,0.5,0.5,1,0,1,0.449204824,0.207012005,0.439527661,182.8508386,17585
Mitch Keller,PIT,24,0.08333333,0.45833333,0.18181818,0.05,0.13636364,0.05,0.18636364,0,0.11111111,-1.295166556,-4.201480393,0.102840383,-41.20919744,17594
Taylor Clarke,ARI,3,0,0.66666667,0,0.33333333,0.33333333,0.33333333,0.66666666,0,1,0.310151669,-0.053137561,0.29301844,79.55072708,17611
Myles Straw,2 Tms,436,0.10550459,0.18348624,0.575,0.2845953,0.36091954,0.38381201,0.74473155,0.09921671,0.34653465,57.93567785,5.137643155,0.328691544,109.6308175,17620
JT Riddle,MIN,5,0,0,0,0.2,0.2,0.2,0.4,0,0.2,0.032045358,-0.573436691,0.175811064,4.941348622,17642
Alex Bregman,HOU,259,0.0965251,0.13127413,0.73529412,0.25438596,0.33204633,0.4122807,0.74432703,0.15789474,0.26455026,33.33169831,1.967728157,0.32360896,107.3274308,17678
Vimael Machin,OAK,25,0.04,0.32,0.125,0.08695652,0.125,0.08695652,0.21195652,0,0.13333333,-1.364939919,-4.392350166,0.102076133,-40.93529934,17684
Kevin Newman,PIT,377,0.04774536,0.08753316,0.54545455,0.22881356,0.26737968,0.29378531,0.56116499,0.06497175,0.246875,24.5380028,-21.11534372,0.246732047,52.27837182,17696
Matt Beaty,LAD,212,0.08962264,0.18867925,0.475,0.26086957,0.35849057,0.39130435,0.74979492,0.13043478,0.30434783,29.04840804,3.37596915,0.333673254,110.6144734,17710
Steven Duggar,SFG,247,0.08097166,0.29149798,0.27777778,0.26222222,0.32793522,0.45777778,0.785713,0.19555556,0.35616438,33.89387022,3.983056989,0.333916618,111.1752894,17719
Skye Bolt,2 Tms,38,0.02631579,0.31578947,0.08333333,0.11111111,0.13513514,0.22222222,0.35735736,0.11111111,0.13043478,-0.43867036,-5.040333935,0.153999793,-5.521849948,17723
Nabil Crismatt,SDP,8,0,0.5,0,0,0,0,0,0,0,-1.112425243,-2.081196522,0,-100,17732
Evan Phillips,LAD,1,0,1,0,0,0,0,0,0,0,-0.139053155,-0.260149565,0,-100,17734
Tyler Alexander,DET,2,0,0.5,0,0,0,0,0,0,0,-0.278106311,-0.520299131,0,-100,17735
Richie Martin,BAL,64,0.046875,0.296875,0.15789474,0.20689655,0.25396825,0.27586207,0.52983032,0.06896552,0.28205128,3.570253047,-4.179917183,0.235488896,43.57195777,17736
Max Schrock,CIN,123,0.05691057,0.16260163,0.35,0.30434783,0.34146341,0.46956522,0.81102863,0.16521739,0.34408602,17.80857217,2.913713756,0.343057533,109.0134424,17750
Drew Smith,NYM,1,0,0,0,0,0,0,0,0,0,-0.139053155,-0.260149565,0,-100,17755
DJ Stewart,BAL,271,0.14391144,0.27675277,0.52,0.20087336,0.32472325,0.40174672,0.72646997,0.20087336,0.23943662,33.77039248,0.953265404,0.318677936,99.7703663,17766
Jake Brentz,KCR,1,1,0,1,0,1,0,1,0,0,0.433257982,0.312161572,0.691716552,351.590289,17783
Braden Bishop,SEA,3,0,0.33333333,0,0,0,0,0,0,0,-0.417159466,-0.780448696,0,-100,17806
Jakson Reetz,WSN,2,0,0,0,0.5,0.5,1,1.5,0.5,0.5,0.749204854,0.507012034,0.620823264,292.8385065,17837
Willie Calhoun,TEX,224,0.08035714,0.12946429,0.62068966,0.25365854,0.3125,0.3804878,0.6929878,0.12682926,0.27325581,24.87806504,-2.247530769,0.302299446,91.45870609,17838
Adbert Alzolay,CHC,23,0.04347826,0.34782609,0.125,0.04761905,0.09090909,0.04761905,0.13852814,0,0.07692308,-1.839526563,-4.624743989,0.071398721,-63.62048028,17859
Nestor Cortes,NYY,1,0,0,0,0,0,0,0,0,0,-0.139053155,-0.260149565,0,-100,17874
Dennis Santana,LAD,2,0,1,0,0,0,0,0,0,0,-0.278106311,-0.520299131,0,-100,17878
Tyler Nevin,BAL,11,0.18181818,0.36363636,0.5,0.11111111,0.27272727,0.11111111,0.38383838,0,0.2,0.3423487,-0.989711809,0.205680766,23.43505622,17893
Garrett Cleavinger,LAD,3,0,0.33333333,0,0.5,0.5,1,1.5,0.5,1,1.123807281,0.760518051,0.620823264,297.1781404,17897
Andrew Benintendi,KCR,382,0.07591623,0.18324607,0.41428571,0.26436782,0.3175853,0.43678161,0.75436691,0.17241379,0.29104478,49.08863815,2.829809584,0.32337989,102.7602219,17901
Brendan Rodgers,COL,309,0.05177994,0.22653722,0.22857143,0.27272727,0.32038835,0.41258741,0.73297576,0.13986014,0.33649289,38.04624673,0.627456088,0.316880713,83.96976627,17907
Ian Happ,CHC,410,0.1195122,0.28780488,0.41525424,0.22969188,0.32926829,0.45938375,0.78865204,0.22969187,0.2764977,58.35265575,8.703127712,0.340082365,110.9454398,17919
Cody Ponce,PIT,4,0,0.75,0,0,0,0,0,0,0,-0.556212622,-1.040598261,0,-100,17920
Isan Diaz,MIA,192,0.140625,0.27083333,0.51923077,0.2037037,0.31413613,0.32098765,0.63512378,0.11728395,0.26851852,17.44719148,-5.80331921,0.277894641,75.77768243,17922
Cedric Mullins,BAL,428,0.09813084,0.18457944,0.53164557,0.2989418,0.37236534,0.55820106,0.9305664,0.25925926,0.32740214,78.86264063,27.03337721,0.390766513,148.4698511,17929
Andrew Stevenson,WSN,183,0.06557377,0.30601093,0.21428571,0.23170732,0.3038674,0.32317073,0.62703813,0.09146341,0.33333333,16.41427275,-5.74637025,0.276474118,69.11210187,17932
Sam Hilliard,COL,181,0.09392265,0.36464088,0.25757576,0.20245399,0.28176796,0.44785276,0.72962072,0.24539877,0.26436782,20.79084851,-1.127601675,0.306896831,77.48315777,17954
Tyler Gilbert,ARI,8,0,0.625,0,0,0,0,0,0,0,-1.112425243,-2.081196522,0,-100,17964
Peter Lambert,COL,1,0,0,0,0,0,0,0,0,0,-0.139053155,-0.260149565,0,-100,17969
