Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR,playerid
Roberto Perez,CLE,119,449,24,46,63,0,10.00%,28.30%,0.213,0.285,0.239,0.321,0.452,0.326,0.316,102,-4.1,-3.1,20,3.2,2900
David Fletcher,LAA,154,653,6,83,49,8,8.40%,9.80%,0.094,0.317,0.29,0.35,0.384,0.318,0.312,96,-0.8,-3.9,13.6,3.2,17992
Bryan Reynolds,PIT,134,546,16,83,68,3,8.40%,22.20%,0.189,0.387,0.314,0.377,0.503,0.371,0.353,130,0.7,22.3,-7.6,3.2,19326
Carlos Correa,HOU,75,321,21,42,59,1,10.90%,23.40%,0.289,0.303,0.279,0.358,0.568,0.38,0.376,142,0.5,17.6,3.4,3.1,14162
Yuli Gurriel,HOU,144,612,31,85,104,5,6.00%,10.60%,0.243,0.289,0.298,0.343,0.541,0.364,0.313,131,-2.6,21.4,-10.8,3.1,19198
Gio Urshela,NYY,132,476,21,73,74,1,5.30%,18.30%,0.219,0.349,0.314,0.355,0.534,0.369,0.34,132,-3.1,16.5,-1.1,3.1,10681
Brian Anderson,MIA,126,520,20,57,66,5,8.50%,21.90%,0.207,0.305,0.261,0.342,0.468,0.342,0.337,114,-0.3,9.6,5,3.1,18289
Paul Goldschmidt,STL,161,682,34,97,97,3,11.40%,24.30%,0.216,0.303,0.26,0.346,0.476,0.346,0.354,117,3.2,18.1,-9.3,3,9218
Starling Marte,PIT,132,586,23,97,82,25,4.30%,16.00%,0.208,0.319,0.295,0.342,0.503,0.353,0.35,118,3.4,17.3,-5.7,3,9241
Joc Pederson,LAD,149,514,36,83,74,1,9.70%,21.60%,0.289,0.249,0.249,0.339,0.538,0.362,0.342,126,0.1,17.6,-3.7,3,11899
Howie Kendrick,WSN,121,370,17,61,62,2,7.30%,13.20%,0.228,0.359,0.344,0.395,0.572,0.4,0.418,147,-1.9,20.9,-2.3,3,4229
Kyle Seager,SEA,106,443,23,55,63,2,9.90%,19.40%,0.229,0.248,0.239,0.321,0.468,0.332,0.347,111,0.5,6.5,8.3,3,9785
Hunter Dozier,KCR,139,586,26,75,84,2,9.40%,25.30%,0.243,0.339,0.279,0.348,0.522,0.36,0.337,123,-2.1,15.4,-5.7,2.9,15117
Willy Adames,TBR,152,584,20,69,52,4,7.90%,26.20%,0.164,0.32,0.254,0.317,0.418,0.313,0.318,99,2.2,1.2,8.5,2.9,15986
Whit Merrifield,KCR,162,735,16,105,74,20,6.10%,17.10%,0.16,0.35,0.302,0.348,0.463,0.34,0.317,110,1.5,10.9,-7.4,2.9,11281
Amed Rosario,NYM,157,655,15,75,72,19,4.70%,18.90%,0.144,0.338,0.287,0.323,0.432,0.318,0.313,101,1.3,2,5.9,2.8,15518
Mike Moustakas,MIL,143,584,35,80,87,3,9.10%,16.80%,0.262,0.25,0.254,0.329,0.516,0.348,0.347,113,-2.2,7.8,2,2.8,4892
Nick Castellanos,- - -,151,664,27,100,73,2,6.20%,21.50%,0.236,0.337,0.289,0.337,0.525,0.357,0.36,122,-0.5,18.3,-12.6,2.8,11737
Miguel Sano,MIN,105,439,34,76,79,0,12.50%,36.20%,0.329,0.319,0.247,0.346,0.576,0.378,0.367,138,-1.4,19.7,-6.6,2.8,12164
Byron Buxton,MIN,87,295,10,48,46,14,6.40%,23.10%,0.251,0.314,0.262,0.314,0.513,0.34,0.301,112,3.3,7.8,9.8,2.7,14161
Scott Kingery,PHI,126,500,19,64,55,15,6.80%,29.40%,0.216,0.337,0.258,0.315,0.474,0.329,0.314,100,5.3,5.5,5.9,2.7,17975
Eric Sogard,- - -,110,442,13,59,40,8,8.60%,14.30%,0.167,0.316,0.29,0.353,0.457,0.342,0.307,115,4.3,12.8,-1,2.7,7927
Brandon Lowe,TBR,82,327,17,42,51,5,7.60%,34.60%,0.243,0.377,0.27,0.336,0.514,0.354,0.338,127,5.1,16.3,-0.4,2.7,18882
Willson Contreras,CHC,105,409,24,57,64,1,9.30%,24.90%,0.261,0.314,0.272,0.355,0.533,0.368,0.342,126,0.2,14.3,-0.3,2.7,11609
Mike Tauchman,NYY,87,296,13,46,47,6,11.50%,24.00%,0.227,0.333,0.277,0.361,0.504,0.364,0.322,128,1.2,12,4.2,2.6,15274
Marcell Ozuna,STL,130,549,29,80,89,12,11.30%,20.80%,0.231,0.257,0.241,0.328,0.472,0.336,0.368,110,1.6,8.7,0,2.6,10324
Victor Robles,WSN,155,617,17,86,65,28,5.70%,22.70%,0.165,0.31,0.255,0.326,0.419,0.317,0.289,92,4.2,-2.4,8.5,2.6,18363
Edwin Encarnacion,- - -,109,486,34,81,86,0,11.90%,21.20%,0.287,0.239,0.244,0.344,0.531,0.362,0.363,130,1,19.6,-10.9,2.5,2151
Kyle Schwarber,CHC,155,610,38,82,92,2,11.50%,25.60%,0.282,0.276,0.25,0.339,0.531,0.357,0.372,119,-2.3,12.8,-7.1,2.5,16478
J.D. Davis,NYM,140,453,22,65,57,3,8.40%,21.40%,0.22,0.355,0.307,0.369,0.527,0.373,0.381,137,-2.8,19.3,-9,2.4,16219
Cavan Biggio,TOR,100,430,16,66,48,14,16.50%,28.60%,0.195,0.309,0.234,0.364,0.429,0.343,0.344,114,4.9,12.6,-2.7,2.4,19252
Josh Bell,PIT,143,613,37,94,116,0,12.10%,19.20%,0.292,0.288,0.277,0.367,0.569,0.378,0.379,135,-5,23.2,-18.2,2.4,13145
Adam Eaton,WSN,151,656,15,103,49,15,9.90%,16.20%,0.148,0.319,0.279,0.365,0.428,0.342,0.321,108,3.5,10.6,-7,2.4,11205
Adalberto Mondesi,KCR,102,443,9,58,62,43,4.30%,29.80%,0.161,0.357,0.263,0.291,0.424,0.298,0.278,81,6.7,-3.9,13.3,2.4,13769
Kevin Newman,PIT,130,531,12,61,64,16,5.30%,11.70%,0.138,0.333,0.308,0.353,0.446,0.339,0.297,109,-0.2,6.3,0.5,2.4,17696
Jordan Luplow,CLE,85,261,15,42,38,3,12.60%,23.40%,0.276,0.313,0.276,0.372,0.551,0.383,0.348,141,1.3,14.9,-0.2,2.3,16424
Gary Sanchez,NYY,106,446,34,62,77,0,9.00%,28.00%,0.293,0.244,0.232,0.316,0.525,0.346,0.366,116,-1.1,8.3,-0.1,2.3,11442
Jean Segura,PHI,144,618,12,79,60,10,4.90%,11.80%,0.141,0.302,0.28,0.323,0.42,0.315,0.304,91,5.7,-1.5,5,2.3,5933
Nick Ahmed,ARI,158,625,19,79,82,8,8.30%,18.10%,0.183,0.28,0.254,0.316,0.437,0.315,0.32,90,2.2,-5.8,9,2.3,12147
Kole Calhoun,LAA,152,632,33,92,74,4,11.10%,25.60%,0.236,0.265,0.232,0.325,0.467,0.33,0.332,105,-1.2,2.4,-1.1,2.3,11200
Adam Frazier,PIT,152,608,10,80,50,5,6.60%,12.30%,0.139,0.306,0.278,0.336,0.417,0.32,0.312,97,0.7,-2,4.9,2.2,15223
Robinson Chirinos,HOU,114,437,17,57,58,1,11.70%,28.60%,0.205,0.306,0.238,0.347,0.443,0.336,0.31,112,-2,4.6,2.7,2.2,3142
Mike Yastrzemski,SFG,107,411,21,64,55,2,7.80%,26.00%,0.245,0.325,0.272,0.334,0.518,0.353,0.34,120,1.6,12.5,-3.2,2.2,14854
James McCann,CHW,118,476,18,62,60,4,6.30%,28.80%,0.187,0.359,0.273,0.328,0.46,0.333,0.323,108,0.7,5.3,0.4,2.2,12859
Christian Walker,ARI,152,603,29,86,73,8,11.10%,25.70%,0.217,0.312,0.259,0.348,0.476,0.346,0.363,110,2.6,11,-8.4,2.2,13419
Keston Hiura,MIL,84,348,19,51,49,9,7.20%,30.70%,0.268,0.402,0.303,0.368,0.57,0.388,0.343,139,-0.1,17.8,-7.1,2.1,20003
Alex Verdugo,LAD,106,377,12,43,44,4,6.90%,13.00%,0.181,0.309,0.294,0.342,0.475,0.341,0.333,112,0.6,6.7,2.8,2.1,17027
Rhys Hoskins,PHI,160,705,29,86,85,2,16.50%,24.50%,0.228,0.267,0.226,0.364,0.454,0.347,0.337,112,-2.7,8.5,-9.8,2.1,16472
Luis Arraez,MIN,92,366,4,54,28,2,9.80%,7.90%,0.104,0.355,0.334,0.399,0.439,0.36,0.332,126,1.8,13.7,-4.8,2.1,18568
Charlie Blackmon,COL,140,634,32,112,86,2,6.30%,16.40%,0.262,0.334,0.314,0.364,0.576,0.387,0.364,127,-4.5,17.8,-16.9,2.1,7859
Tyler Flowers,ATL,85,310,11,36,34,0,10.00%,33.90%,0.185,0.325,0.229,0.319,0.413,0.31,0.288,87,-2.4,-7.8,19,2.1,9134
Ji-Man Choi,TBR,127,487,19,54,63,2,13.10%,22.20%,0.198,0.303,0.261,0.363,0.459,0.348,0.364,122,0.8,14.8,-11.1,2,5452
Andrew Benintendi,BOS,138,615,13,72,68,10,9.60%,22.80%,0.165,0.333,0.266,0.343,0.431,0.33,0.337,100,2.7,2.9,-4.1,2,17901
Hunter Renfroe,SDP,140,494,33,64,64,5,9.30%,31.20%,0.273,0.239,0.216,0.289,0.489,0.32,0.312,99,-0.4,-0.9,5.1,2,15464
Ryan Braun,MIL,144,508,22,70,75,11,6.70%,20.70%,0.22,0.325,0.285,0.343,0.505,0.354,0.33,117,-0.7,10.5,-6.9,2,3410
Evan Longoria,SFG,129,508,20,59,69,3,8.50%,22.00%,0.183,0.291,0.254,0.325,0.437,0.322,0.35,100,-1.3,-1.1,4.6,2,9368
Miguel Rojas,MIA,132,526,5,52,46,9,6.10%,11.80%,0.095,0.314,0.284,0.331,0.379,0.305,0.301,90,-2.9,-9.8,12.6,1.9,7802
Eric Thames,MIL,149,459,25,67,61,3,11.10%,30.50%,0.258,0.313,0.247,0.346,0.505,0.354,0.319,116,2.6,12.6,-7.6,1.9,3711
Oscar Mercado,CLE,115,482,15,70,54,15,5.80%,17.40%,0.174,0.3,0.269,0.318,0.443,0.321,0.302,98,3.5,2.6,0.4,1.9,16375
Todd Frazier,NYM,133,499,21,63,67,1,8.00%,21.20%,0.192,0.284,0.251,0.329,0.443,0.328,0.31,107,-1.6,3.1,0.5,1.9,785
Niko Goodrum,DET,112,472,12,61,45,12,9.70%,29.20%,0.173,0.338,0.248,0.322,0.421,0.315,0.301,95,6.9,3.9,-0.6,1.9,12092
Avisail Garcia,TBR,125,530,20,61,72,10,5.80%,23.60%,0.182,0.34,0.282,0.332,0.464,0.334,0.341,113,-3.5,5.4,-4.2,1.9,5760
Danny Santana,TEX,130,511,28,81,81,21,4.90%,29.50%,0.251,0.353,0.283,0.324,0.534,0.352,0.342,111,4.6,11.6,-9.8,1.9,10322
Tommy La Stella,LAA,80,321,16,49,44,0,6.20%,8.70%,0.192,0.282,0.295,0.346,0.486,0.351,0.347,119,-0.1,7.7,0.6,1.9,12371
Asdrubal Cabrera,- - -,131,514,18,69,91,4,11.10%,20.00%,0.181,0.294,0.26,0.342,0.441,0.331,0.316,98,-4.2,-5.2,6.9,1.9,4962
Hanser Alberto,BAL,139,550,12,62,51,4,2.90%,9.10%,0.116,0.318,0.305,0.329,0.422,0.318,0.292,95,-1.7,-4.9,4.8,1.9,11902
Jason Heyward,CHC,147,589,21,78,62,8,11.50%,18.70%,0.177,0.281,0.251,0.343,0.429,0.328,0.318,100,2.1,1.7,-1.7,1.9,4940
Omar Narvaez,SEA,132,482,22,63,55,0,9.80%,19.10%,0.182,0.306,0.278,0.353,0.46,0.345,0.323,120,-1.5,10.6,-8.5,1.9,13338
Harrison Bader,STL,128,406,12,54,39,11,11.30%,28.80%,0.161,0.268,0.205,0.314,0.366,0.293,0.305,82,0.7,-8.8,14.5,1.8,18030
Carson Kelly,ARI,111,365,18,46,47,0,13.20%,21.60%,0.232,0.271,0.245,0.348,0.478,0.339,0.336,106,-1.9,1.2,5.6,1.8,13620
Hunter Pence,TEX,83,316,18,53,59,6,8.20%,21.80%,0.255,0.333,0.297,0.358,0.552,0.377,0.355,128,3.3,14.6,-7,1.8,8252
Lourdes Gurriel Jr.,TOR,84,343,20,52,50,6,5.80%,25.10%,0.264,0.318,0.277,0.327,0.541,0.358,0.336,124,0.6,11.3,-4.7,1.8,19238
Buster Posey,SFG,114,445,7,43,38,0,7.60%,16.00%,0.111,0.296,0.257,0.32,0.368,0.298,0.308,84,-4.9,-14.2,18.3,1.8,9166
Eloy Jimenez,CHW,122,504,31,69,79,0,6.00%,26.60%,0.246,0.308,0.267,0.315,0.513,0.343,0.346,115,1.8,11.3,-11,1.8,17484
Jon Berti,MIA,73,287,6,52,24,17,8.40%,25.40%,0.133,0.36,0.273,0.348,0.406,0.326,0.315,104,6.4,8,0.6,1.7,12037
Shin-Soo Choo,TEX,151,660,24,93,61,15,11.80%,25.00%,0.19,0.333,0.265,0.371,0.455,0.353,0.358,112,3.8,13.8,-19.2,1.7,3174
Bo Bichette,TOR,46,212,11,32,21,4,6.60%,23.60%,0.26,0.368,0.311,0.358,0.571,0.384,0.334,142,-1.2,10.2,0.2,1.7,19612
Jose Abreu,CHW,159,693,33,85,123,2,5.20%,21.90%,0.219,0.32,0.284,0.33,0.503,0.344,0.354,115,-5.3,8.3,-15,1.7,15676
Brian Dozier,WSN,135,482,20,54,50,3,12.70%,21.80%,0.192,0.271,0.238,0.34,0.43,0.329,0.329,100,-1.6,-1.5,3.4,1.7,9810
Brian Goodwin,LAA,136,458,17,65,47,7,8.30%,28.20%,0.208,0.337,0.262,0.326,0.47,0.332,0.297,106,2.2,5.7,-4.4,1.7,12858
Luke Voit,NYY,118,510,21,72,62,0,13.90%,27.80%,0.2,0.345,0.263,0.378,0.464,0.36,0.36,126,-3.8,13.1,-13.6,1.7,14811
Manuel Margot,SDP,151,441,12,59,37,20,8.60%,20.00%,0.153,0.272,0.234,0.304,0.387,0.296,0.273,84,5,-4.6,7.5,1.7,14712
Chris Taylor,LAD,124,414,12,52,52,8,8.90%,27.80%,0.199,0.344,0.262,0.333,0.462,0.331,0.294,106,2.5,5.6,-1.8,1.7,13757
Cesar Hernandez,PHI,161,667,14,77,71,9,6.70%,15.00%,0.129,0.313,0.279,0.333,0.408,0.315,0.298,91,1.5,-6.2,1.6,1.7,10556
David Peralta,ARI,99,423,12,48,57,0,8.30%,20.60%,0.186,0.327,0.275,0.343,0.461,0.338,0.301,105,-1.7,1.3,2,1.7,2136
Shohei Ohtani,LAA,106,425,18,51,62,12,7.80%,25.90%,0.219,0.354,0.286,0.343,0.505,0.352,0.346,120,1.4,12.1,-9.9,1.7,19755
Tyler Naquin,CLE,89,294,10,34,34,4,4.80%,22.40%,0.179,0.345,0.288,0.325,0.467,0.33,0.323,105,-1.2,0.6,6.1,1.7,13359
Victor Reyes,DET,69,292,3,29,25,9,4.80%,21.90%,0.127,0.384,0.304,0.336,0.431,0.325,0.28,101,0.3,0.8,5.9,1.6,15487
Jason Castro,MIN,79,275,13,39,30,0,12.00%,32.00%,0.203,0.307,0.232,0.332,0.435,0.328,0.362,103,-0.8,0.5,6.7,1.6,8722
Will Smith,LAD,54,196,15,30,42,2,9.20%,26.50%,0.318,0.264,0.253,0.337,0.571,0.369,0.318,130,-0.8,7.1,3.3,1.6,19197
Travis d'Arnaud,- - -,103,391,16,52,69,0,8.20%,21.70%,0.182,0.281,0.251,0.312,0.433,0.314,0.334,100,-1.1,-1.5,4.5,1.6,7739
Yandy Diaz,TBR,79,347,14,53,38,2,10.10%,17.60%,0.208,0.288,0.267,0.34,0.476,0.341,0.354,118,-0.2,7.7,-3.3,1.6,16578
Daniel Vogelbach,SEA,144,558,30,73,76,0,16.50%,26.70%,0.232,0.232,0.208,0.341,0.439,0.333,0.343,112,-0.1,8.1,-11.2,1.6,14130
Dexter Fowler,STL,150,574,19,69,67,8,12.90%,24.70%,0.17,0.294,0.238,0.346,0.409,0.326,0.336,103,-0.3,2.3,-4.7,1.6,4062
Cameron Maybin,NYY,82,269,11,48,32,9,11.20%,26.80%,0.209,0.365,0.285,0.364,0.494,0.362,0.339,128,0.7,10.3,-3.3,1.6,5223
Kevin Kiermaier,TBR,129,480,14,60,55,19,5.40%,21.70%,0.17,0.267,0.228,0.278,0.398,0.284,0.292,79,3.5,-9.3,8.7,1.6,11038
Andrelton Simmons,LAA,103,424,7,47,40,10,5.70%,8.70%,0.101,0.277,0.264,0.309,0.364,0.29,0.265,78,-1.7,-13.8,14.8,1.5,10847
