Name,Tm,PA,BB%,K%,BB/K,AVG,OBP,SLG,OPS,ISO,BABIP,wRC,wRAA,wOBA,wRC+,playerId
Frank Schwindel,2 Tms,80,0.1125,0.1375,0.81818182,0.32394366,0.4,0.67605634,1.07605634,0.35211268,0.31481481,18.06541254,8.377699751,0.440089066,177.459652,15351
Jeff McNeil,NYM,110,0.07272727,0.17272727,0.42105263,0.25252525,0.32727273,0.3030303,0.63030303,0.05050505,0.3125,10.72735381,-2.593251272,0.285932815,83.05903432,15362
Jack Mayfield,2 Tms,103,0.06796117,0.22330097,0.30434783,0.22340426,0.2815534,0.41489362,0.69644702,0.19148936,0.23880597,11.11874023,-1.354189985,0.298535923,88.6002984,15402
Andrew Heaney,LAA,2,0.5,0,1,1,1,1,2,0,1,1.021515961,0.779323142,0.785385936,416.3642244,15423
Kris Bryant,2 Tms,153,0.12418301,0.24836601,0.5,0.28358209,0.37254902,0.53731343,0.90986245,0.25373134,0.33333333,26.61635911,8.088608403,0.381045833,137.5072405,15429
Matthew Boyd,DET,1,0,0,0,0,0,0,0,0,0,-0.139053155,-0.260149565,0,-100,15440
Hunter Renfroe,BOS,207,0.11594203,0.19806763,0.58536585,0.27624309,0.36231884,0.51933702,0.88165586,0.24309393,0.3,35.47555522,10.40859838,0.37520046,135.2519012,15464
Lucas Giolito,CHW,2,0,0.5,0,0.5,0.5,0.5,1,0,1,0.449204824,0.207012005,0.439527661,183.9754416,15474
Aristides Aquino,CIN,98,0.15306122,0.28571429,0.53571429,0.19753086,0.31632653,0.44444444,0.76077097,0.24691358,0.20408163,12.48561295,0.618164783,0.322050299,95.36487367,15482
Victor Reyes,DET,69,0.04347826,0.20289855,0.21428571,0.32307692,0.35294118,0.50769231,0.86063349,0.18461539,0.3877551,11.33480215,2.979149866,0.366610676,133.7048083,15487
Antonio Senzatela,COL,13,0,0.30769231,0,0,0,0,0,0,0,-1.80769102,-3.381944349,0,-100,15488
Justin Williams,STL,19,0.21052632,0.36842105,0.57142857,0.13333333,0.31578947,0.13333333,0.4491228,0,0.25,0.705743267,-1.595088521,0.212958905,33.45638789,15490
